municipio_code,lat,lon,kind
11004,36.1311725,-5.4473991,centroide_nominatim_historico
11005,36.879693,-5.4047755,centroide_nominatim_historico
11006,36.7526913,-5.8122092,centroide_nominatim_historico
11007,36.1923983,-5.9192837,centroide_nominatim_historico
11008,36.2586921,-5.6460469,centroide_nominatim_historico
11009,36.7006416,-5.421687,centroide_nominatim_historico
11010,36.8157427,-5.7434863,centroide_nominatim_historico
11011,36.757294,-5.5067224,centroide_nominatim_historico
11012,36.5297438,-6.2928976,centroide_nominatim_historico
11013,36.2867039,-5.4196952,centroide_nominatim_historico
11014,36.277054,-6.0881874,centroide_nominatim_historico
11015,36.4191096,-6.1460683,centroide_nominatim_historico
11016,36.7355451,-6.4348221,centroide_nominatim_historico
11017,36.8716918,-5.8060565,centroide_nominatim_historico
11018,36.8551853,-5.3236056,centroide_nominatim_historico
11019,36.7583892,-5.366074,centroide_nominatim_historico
11020,36.6816936,-6.1377402,centroide_nominatim_historico
11021,36.4327335,-5.4527477,centroide_nominatim_historico
11022,36.1687585,-5.3692725,centroide_nominatim_historico
11023,36.4576714,-5.9272725,centroide_nominatim_historico
11024,36.9348951,-5.2601194,centroide_nominatim_historico
11025,36.5229634,-5.864702,centroide_nominatim_historico
11026,36.7879415,-5.5572276,centroide_nominatim_historico
11027,36.5996012,-6.2286652,centroide_nominatim_historico
11028,36.5286856,-6.1902161,centroide_nominatim_historico
11029,36.9213346,-5.5420668,centroide_nominatim_historico
11030,36.6228636,-6.3599595,centroide_nominatim_historico
11031,36.4646672,-6.1983492,centroide_nominatim_historico
11032,36.7761393,-6.3534794,centroide_nominatim_historico
11033,36.2100586,-5.3868293,centroide_nominatim_historico
11034,36.8621836,-5.1787,centroide_nominatim_historico
11035,36.0129082,-5.6050213,centroide_nominatim_historico
11036,36.9156897,-5.2347672,centroide_nominatim_historico
11037,36.8693137,-6.1767017,centroide_nominatim_historico
11038,36.6769347,-5.4457808,centroide_nominatim_historico
11039,36.251937,-5.9670492,centroide_nominatim_historico
11040,36.6965773,-5.3860094,centroide_nominatim_historico
11041,36.8591822,-5.6434544,centroide_nominatim_historico
11042,36.8405841,-5.3905374,centroide_nominatim_historico
11901,36.3449297,-5.8137236,centroide_nominatim_historico
11902,36.6062584,-5.7997029,centroide_nominatim_historico
12001,40.2166007,-0.1709719,centroide_nominatim_historico
12002,39.9007811,-0.3409807,centroide_nominatim_historico
12003,40.3577713,0.0241661,centroide_nominatim_historico
12004,40.3041662,0.2252763,centroide_nominatim_historico
12005,40.0746619,-0.2142146,centroide_nominatim_historico
12006,39.9158376,-0.354769,centroide_nominatim_historico
12007,39.8376893,-0.2690126,centroide_nominatim_historico
12008,39.9143599,-0.442368,centroide_nominatim_historico
12009,39.9435743,-0.0634783,centroide_nominatim_historico
12010,39.8723007,-0.4093054,centroide_nominatim_historico
12011,39.7521228,-0.2251286,centroide_nominatim_historico
12012,39.8512304,-0.5128608,centroide_nominatim_historico
