geonameid,name,asciiname,alternatenames,lat,lon,feature_class,feature_code,admin1,admin2,admin3,admin4,provincia_ine,population
2509487,Villarrubia de los Ojos,Villarrubia de los Ojos,"Villarrubia de los Ojos,Villarrubia los Ojos",39.22085,-3.60802,P,PPLA3,54,CR,13096,,13,11191
2509491,Villarrobledo,Villarrobledo,"Billarrobledo,Vil'jarrobledo,Villa Robletum,Villarrobledo,biryaroburedo,Βιλλαρροβλέδο,Вильярробледо,ビリャロブレド",39.26992,-2.60119,P,PPLA3,54,AB,02081,,02,26642
2509494,Villarrasa,Villarrasa,Villarrasa,37.38849,-6.60641,P,PPLA3,51,H,21077,,21,2142
2509496,Villargordo del Cabriel,Villargordo del Cabriel,"Villagordo,Villargordo,Villargordo del Cabriel",39.53333,-1.43333,P,PPLA3,60,V,46259,,46,719
2509499,Villares del Saz,Villares del Saz,Villares del Saz,39.84109,-2.50427,P,PPLA3,54,CU,16269,,16,630
2509505,Villarejo-Periesteban,Villarejo-Periesteban,Villarejo-Periesteban,39.87231,-2.44145,P,PPLA3,54,CU,16266,,16,511
2509506,Villarejo de Montalbán,Villarejo de Montalban,"Villarejo de Montalban,Villarejo de Montalbán",39.76913,-4.57314,P,PPLA3,54,TO,45194,,45,76
2509507,Villarejo de Fuentes,Villarejo de Fuentes,,39.78809,-2.6968,P,PPLA3,54,CU,16264,,16,736
2509510,Villardompardo,Villardompardo,Villardompardo,37.83735,-4.00051,P,PPLA3,51,J,23098,,23,1157
2509513,Villar de Rena,Villar de Rena,,39.07651,-5.81074,P,PPLA3,57,BA,06156,,06,1540
2509516,Villar del Rey,Villar del Rey,Villar del Rey,39.1331,-6.84762,P,PPLA3,57,BA,06155,,06,2279
2509517,Villar del Pozo,Villar del Pozo,Villar del Pozo,38.8501,-3.96405,P,PPLA3,54,CR,13095,,13,121
2509518,Villar del Pedroso,Villar del Pedroso,Villar del Pedroso,39.70631,-5.19583,P,PPLA3,57,CC,10213,,10,747
