geonameid,name,asciiname,alternatenames,lat,lon,feature_class,feature_code,admin1,admin2,admin3,admin4,provincia_ine,population
3119774,La Espina,La Espina,La Espina,42.79012,-4.90529,P,PPL,55,LE,24183,,24,0
3119775,Raval de l'Esparra,Raval de l'Esparra,,41.83333,2.66667,P,PPLX,56,GI,17148,,17,0
3119776,La Escurquilla,La Escurquilla,"La Escurquilla,La Escuzquilla",42.15967,-2.28588,P,PPL,27,LO,26058,,26,0
3119777,Escontrilla Alta,Escontrilla Alta,,43.3042,-3.03744,P,PPL,59,BI,48080,,48,0
3119778,La Escaleruela,La Escaleruela,"Escaleruela,La Escaleruela",40.14231,-0.76097,P,PPL,52,TE,44210,,44,43
3119779,l'Escala,l'Escala,"La Escala,l'Escala",42.12562,3.13261,P,PPL,56,GI,17062,,17,10417
3119780,La Ería,La Eria,,43.58691,-5.84129,P,PPL,34,O,33025,,33,0
3119781,La Ercina,La Ercina,La Ercina,42.81348,-5.2184,P,PPL,55,LE,24068,,24,678
3119782,La Enfestiella,La Enfestiella,"Enfestiella,La Enfestiella",43.14608,-5.70123,P,PPL,34,O,33002,,33,0
3119783,La Encina,La Encina,La Encina,43.31961,-3.86599,P,PPL,39,S,39074,,39,0
3119784,La Encina,La Encina,La Encina,40.4991,-6.53059,P,PPL,55,SA,37119,,37,151
3119785,La Encarnada,La Encarnada,La Encarnada,43.30999,-5.60091,P,PPL,34,O,33060,,33,0
3119788,La Edilla,La Edilla,La Edilla,43.31209,-3.4051,P,PPL,39,S,39058,,39,0
3119789,La Dueña de Arriba,La Duena de Arriba,"Alqueria La Duena de Arriba,Alquería La Dueña de Arriba,La Duena de Arriba,La Dueña de Arriba",40.67444,-5.73778,P,PPL,55,SA,37237,,37,0
3119790,La Dueña de Abajo,La Duena de Abajo,"Alqueria La Duena de Abajo,Alquería La Dueña de Abajo,La Duena de Abajo,La Dueña de Abajo",40.67567,-5.72999,P,PPL,55,SA,37237,,37,0
3119791,Ladruñán,Ladrunan,"Ladrunan,Ladruñán",40.74175,-0.40142,P,PPL,52,TE,44071,,44,0
3119793,Ladrillar,Ladrillar,El Ladrillar,40.46576,-6.22427,P,PPLA3,57,CC,10108,,10,269
3119794,Ladrido,Ladrido,"Ladrido,Santa Eulalia",43.7,-7.81667,P,PPL,58,C,15061,,15,170
3119795,Ladrido,Ladrido,,43.5,-7.23333,P,PPL,58,LU,27005,,27,9
3119796,Ladrero,Ladrero,,43.09343,-6.48123,P,PPL,34,O,33011,,33,0
3119798,Ladra,Ladra,"El Salvador,Ladra",43.23333,-7.68333,P,PPL,58,LU,27065,,27,0
3119800,Ladines,Ladines,,43.39816,-5.88596,P,PPL,34,O,33044,,33,0
3119801,Ladines,Ladines,Ladines,43.20333,-5.4449,P,PPL,34,O,33067,,33,0
3119802,La Devesa de Boñar,La Devesa de Bonar,"La Devesa de Bonar,La Devesa de Boñar",42.82137,-5.29671,P,PPL,55,LE,24199,,24,0
3119804,La Depata,La Depata,,43.26667,-5.75,P,PPL,34,O,33037,,33,0
3119805,La Dehesilla,La Dehesilla,"Caserio La Dehesilla,Caserío La Dehesilla,La Dehesilla",40.32912,-6.28336,P,PPL,57,CC,10041,,10,0
3119806,La Dehesilla,La Dehesilla,,40.19007,-6.30488,P,PPL,57,CC,10167,,10,0
3119807,Lada,Lada,,43.30243,-5.70733,P,PPL,34,O,33031,,33,3000
3119808,La Curriquera,La Curriquera,La Curriquera,43.38127,-6.30417,P,PPL,34,O,33059,,33,0
3119809,Lakuntza,Lakuntza,"Lacunza,Lakuntza",42.92249,-2.02337,P,PPLA3,32,NA,31138,,31,0
3119810,La Cueva de Roa,La Cueva de Roa,La Cueva de Roa,41.66683,-3.94117,P,PPL,55,BU,09117,,09,108
3119811,La Cueva,La Cueva,,43.33333,-5.75,P,PPL,34,O,33031,,33,0
3119812,La Cueva,La Cueva,La Cueva,43.31667,-3.9,P,PPL,39,S,39019,,39,0
3119813,La Cueva,La Cueva,"Barrio La Cueva,La Cueva",40.43317,-1.92892,P,PPL,54,CU,16239,,16,0
3119815,La Cueta,La Cueta,La Cueta,43.01494,-6.18692,P,PPL,55,LE,24029,,24,0
3119816,La Cuesta,La Cuesta,,43.61667,-5.8,P,PPL,34,O,33025,,33,0
3119817,La Cuesta,La Cuesta,,43.55,-5.73333,P,PPL,34,O,33014,,33,0
3119818,La Cuesta,La Cuesta,,43.41683,-5.55007,P,PPL,34,O,33065,,33,0
3119819,A Costa,A Costa,La Costa,42.28333,-7.58333,P,PPL,58,OR,32043,,32,0
3119820,La Cuesta,La Cuesta,La Cuesta,42.2588,-6.42122,P,PPL,55,LE,24172,,24,0
3119821,La Cuesta,La Cuesta,,42.06091,-2.31413,P,PPL,55,SO,42209,,42,0
3119822,La Cuesta,La Cuesta,"Cuesta,La Cuesta,La Kosta,Ла Коста",41.0828,-3.96017,P,PPL,55,SG,40208,,40,5000
3119823,La Cuenca,La Cuenca,La Cuenca,41.73803,-2.74112,P,PPL,55,SO,42095,,42,15
3119824,La Cuba,La Cuba,"Barrio La Cuba,La Cuba",40.25,-0.75,P,PPLX,52,TE,44158,,44,0
3119825,La Cuba,La Cuba,La Cuba,40.59166,-0.29707,P,PPL,52,TE,44088,,44,0
3119826,Lacuadrada,Lacuadrada,Lacuadrada,41.97189,-0.07121,P,PPL,52,HU,22235,,22,0
3119827,La Cuadra de Arriba,La Cuadra,,43.224,-3.02105,P,PPL,59,BI,48045,,48,0
3119828,La Cuadra,La Cuadra,,42.89937,-4.19524,P,PPL,39,S,39092,,39,0
3119829,Kurtzea,Krutzea,"Krutzea,La Cruz",43.28333,-2.83333,P,PPL,59,BI,48905,,48,0
3119830,Kurtzea,La Cruz,,43.23038,-2.83514,P,PPL,59,BI,48036,,48,0
3119831,La Cruz,La Cruz,,43.02307,-5.8704,P,PPL,34,O,33033,,33,0
3119832,la Creueta,la Creueta,,41.96667,2.85,P,PPL,56,GI,17142,,17,0
3119833,La Cotera,La Cotera,,43.35983,-4.34927,P,PPL,39,S,39091,,39,0
3119834,La Costera,La Costera,,43.34359,-3.75776,P,PPL,39,S,39037,,39,0
3119835,La Costana,La Costana,La Costana,43.0162,-4.00105,P,PPL,39,S,39017,,39,0
3119836,La Costa,La Costa,La Costa,41.74665,2.41724,P,PPL,56,B,08234,,08,0
3119837,Lacorzana,Lacorzana,,42.18333,-2.88333,P,PPL,27,LO,26178,,26,0
3119838,Lacorvilla,Lacorvilla,Lacorvilla,42.19362,-0.8635,P,PPL,52,Z,50151,,50,0
3119841,A Coruña,A Coruna,"A Coruna,A Coruña,A Cruna,A Cruña,A Koruna,A-Korun'ja,Akoruna,Akoruņa,Caronium,Coruna,Corunako,Corunha,Corunya,Coruña,Coruñako,Corùna,In Coruna,In Coruña,Koruna,Korunjo,LCG,La Corogne,La Coronha,La Coruna,La Coruña,La Koruna,La Korunja,La Korunya,La-Karun'ja,La-Korun'ja,La-Korunya,The Groyne,la ke lu ni ya,la kwrwnya,lakolunya,lakrwnya,xa ko ruya,А Коруња,А-Корунья,Коруња,Ла Коруня,Ла-Карунья,Ла-Корунья,Լա Կորունա,א קורוניה,اے کرونا,لا كورونيا,لا کۆرونیا,لاکرونیا,อาโกรูญา,ლა-კორუნია,ア・コルーニャ,拉科魯尼亞,라코루냐",43.37135,-8.396,P,PPLA3,58,C,15030,,15,250438
3119842,La Cortina,La Cortina,,43.02696,-5.83327,P,PPL,34,O,33033,,33,0
3119843,Lacort,Lacort,,42.4744,-0.03417,P,PPL,52,HU,22109,,22,0
3119844,La Corredoría,La Corredoria,"Corredoria,La Corredoria,La Corredoría",43.38333,-5.81667,P,PPL,34,O,33044,,33,0
3119845,La Corrada,La Corrada,"Corrada,La Corrada",43.52407,-6.04838,P,PPL,34,O,33069,,33,0
3119846,la Coromina,la Coromina,la Coromina,41.90946,1.69413,P,PPL,56,B,08047,,08,0
3119847,La Cormana,La Cormana,"Caserio La Cormana,Caserío La Cormana,La Cormana",40.26667,-0.2,P,PPL,60,CS,12025,,12,0
3119848,La Corcolina,La Corcolina,La Corcolina,43.28282,-6.57421,P,PPL,34,O,33073,,33,0
3119850,La Concha,La Concha,La Concha,43.36988,-3.85216,P,PPL,39,S,39099,,39,0
3119851,La Concha,La Concha,La Concha,43.20226,-3.69791,P,PPL,39,S,39072,,39,0
3119852,La Collada,La Collada,"Collado,La Collada",43.34007,-3.62608,P,PPL,39,S,39028,,39,0
3119853,La Colilla,La Colilla,"La Colilla,La Kolilja,La-Kolil'ja,la ke li li ya,la kwlya,lakwlya,Ла Колилја,Ла-Колилья,Ла-Колілья,لا كوليا,لاکولیا,拉科利利亚",40.64753,-4.76595,P,PPL,55,AV,05061,,05,270
3119854,La Codoñera,La Codonera,"La Codonera,La Codoñera,la Codonyera",40.93367,-0.08578,P,PPL,52,TE,44080,,44,343
3119855,La Cobertoria,La Cobertoria,"Estacion de la Cobertoria,Estación de la Cobertoria,La Cobertoria",43.12946,-5.81493,P,PPL,34,O,33033,,33,0
3119856,La Coba,La Coba,,43.21198,-6.97037,P,PPL,34,O,33027,,33,0
3119857,La Cierva,La Cierva,"Cierva,La Cierva",40.05,-1.85,P,PPL,54,CU,16074,,16,49
3119859,La Chirivilla,La Chirivilla,"Caserio La Chirivilla,Caserío La Chirivilla,La Chirivilla",40.13333,-0.43333,P,PPL,60,CS,12142,,12,0
3119860,La Chana,La Chana,La Chana,42.48181,-6.72472,P,PPL,55,LE,24022,,24,0
3119861,Lacervilla,Lacervilla,"Lacervilla,Lizeriuri",42.71268,-2.8398,P,PPL,59,VI,01014,,01,0
3119862,La Cerra,La Cerra,"Cerra,La Cerra",43.53033,-5.50109,P,PPL,34,O,33076,,33,0
3119863,La Cernada,La Cernada,La Cernada,42.69619,-7.03304,P,PPL,55,LE,24198,,24,0
3119864,La Cerca,La Cerca,,43.22307,-3.31418,P,PPL,59,BI,48022,,48,0
3119865,La Cerca,La Cerca,La Cerca,42.97248,-3.427,P,PPL,55,BU,09209,,09,0
3119866,La Ceposa,La Ceposa,,43.21667,-5.73333,P,PPL,34,O,33037,,33,14
3119867,la Sènia,la Senia,Cenia,40.63333,0.28333,P,PPL,56,T,43044,,43,0
3119868,La Cendra,La Cendra,"Caserio La Cendra,Caserío La Cendra,La Cendra",40.36504,-4.79639,P,PPL,55,AV,05041,,05,0
3119869,La Cebollona,La Cebollona,"Caserio La Cebollona,Caserío La Cebollona,La Cebollona",40.26534,-5.97768,P,PPL,57,CC,10001,,10,0
3119871,La Cebedal,La Cebedal,,43.35768,-6.61693,P,PPL,34,O,33073,,33,0
3119872,La Cavada,La Cavada,,43.35127,-3.70377,P,PPL,39,S,39064,,39,0
3119873,la Cava,la Cava,la Cava,40.71667,0.73333,P,PPL,56,T,43014,,43,0
3119874,La Casería,La Caseria,"La Caseria,La Casería",43.2725,-5.74445,P,PPL,34,O,33037,,33,0
3119875,La Casa Blanca,La Casa Blanca,"Caserio Blanca,Caserío Blanca,La Casa Blanca",41.31923,-4.93769,P,PPL,55,VA,47085,,47,0
3119877,La Carroña,La Carrona,"Caserio Carrona,Caserío Carroña,La Carrona,La Carroña",41.31667,1.56667,P,PPL,56,T,43137,,43,0
3119878,La Carrizal,La Carrizal,,43.42688,-6.58159,P,PPL,34,O,33073,,33,0
3119879,La Carriona,La Carriona,La Carriona,43.53333,-5.93333,P,PPL,34,O,33020,,33,0
3119880,La Carrera de Otero,La Carrera de Otero,La Carrera de Otero,42.51667,-6.03333,P,PPL,55,LE,24214,,24,0
3119881,La Carrera,La Carrera,"La Carrera,San Martin,San Martín",43.38333,-5.68333,P,PPL,34,O,33066,,33,0
